"N"	"Dose"	"Strain"	"Line"	"SUBJECT.NAME"	"Sex"	"ID"	"Age"	"Weight"	"SpleenIndex"	"Log10.CFUs.g.Spleen"	"Log10.CFUs.g.Liver"	"Batch"	"Exp"	"Date"	"B6"	"S.129"
"1"	1	800	"CC002/Unc(OR15156)"	"CC002"	"OR15156"	0	72943	17	23.8	0.71	5.15	3.45	"A"	1	20141101	6.2525	4.38
"2"	2	800	"CC002/Unc(OR15156)"	"CC002"	"OR15156"	0	72944	17	22.2	0.74	5.15	2.82	"A"	1	20141101	6.2525	4.38
"3"	3	800	"CC002/Unc(OR15156)"	"CC002"	"OR15156"	0	72945	17	23.6	0.68	5.32	3.21	"A"	1	20141101	6.2525	4.38
"4"	4	800	"CC051/IL-16912"	"CC051"	"IL-16912"	1	73453	17	32.9	0.65	4.95	3.53	"A"	1	20141101	6.2525	4.38
"5"	5	800	"CC051/IL-16912"	"CC051"	"IL-16912"	1	73454	17	36.8	0.59	4.87	3.24	"A"	1	20141101	6.2525	4.38
"6"	6	800	"CC051/IL-16912"	"CC051"	"IL-16912"	1	73455	17	32.7	0.65	4.95	2.86	"A"	1	20141101	6.2525	4.38
"7"	7	800	"CC051/IL-16912"	"CC051"	"IL-16912"	1	73456	17	31	0.57	5.07	3.06	"A"	1	20141101	6.2525	4.38
"8"	8	800	"CC051/IL-16912"	"CC051"	"IL-16912"	0	73466	17	26.3	0.8	4.9	3.28	"A"	1	20141101	6.2525	4.38
"9"	10	800	"CC051/IL-16912"	"CC051"	"IL-16912"	0	73468	17	24.8	0.85	4.92	3.2	"A"	1	20141101	6.2525	4.38
"10"	11	800	"CC051/IL-16912"	"CC051"	"IL-16912"	0	73469	17	27.8	0.71	4.83	3.5	"A"	1	20141101	6.2525	4.38
"11"	12	800	"CC019/IL-16513"	"CC019"	"IL-16513"	1	73541	17	25.3	0.72	5.26	4.44	"A"	1	20141101	6.2525	4.38
"12"	13	800	"CC019/IL-16513"	"CC019"	"IL-16513"	1	73542	17	27.3	0.74	5.23	4.41	"A"	1	20141101	6.2525	4.38
"13"	14	800	"CC019/IL-16513"	"CC019"	"IL-16513"	0	73543	17	19.8	0.84	5.56	4.45	"A"	1	20141101	6.2525	4.38
"14"	15	800	"CC019/IL-16513"	"CC019"	"IL-16513"	0	73544	17	18	0.75	5.81	4.18	"A"	1	20141101	6.2525	4.38
"15"	16	800	"CC019/IL-16513"	"CC019"	"IL-16513"	0	73545	17	17.5	0.68	5.72	4.32	"A"	1	20141101	6.2525	4.38
"16"	17	800	"CC019/IL-16513"	"CC019"	"IL-16513"	0	73546	17	18.7	0.77	5.13	3.99	"A"	1	20141101	6.2525	4.38
"17"	18	800	"CC041/IL-16441"	"CC041"	"IL-16441"	0	73565	17	28.5	0.82	5.01	3.49	"A"	1	20141101	6.2525	4.38
"18"	19	800	"CC041/IL-16441"	"CC041"	"IL-16441"	0	73566	17	22.6	0.76	5.14	3.45	"A"	1	20141101	6.2525	4.38
"19"	21	800	"CC041/IL-16441"	"CC041"	"IL-16441"	1	73581	17	30.7	0.77	5.37	3.86	"A"	1	20141101	6.2525	4.38
