"Exp"	"Dose"	"Number"	"Strain"	"Line"	"CC.Line"	"Endpoint"	"Survival.Days"	"Outcome"	"sex"	"Sex"	"Age"	"Birthday"	"Batch"	"B6"	"S.129"
"1"	3	"Na"	1	"CC019(IL-16513)"	"CC019"	"IL-16513"	"-"	14	0	"Male"	1	9	""	"A"	6	14
"2"	3	"Na"	2	"CC019(IL-16513)"	"CC019"	"IL-16513"	"-"	14	0	"Male"	1	9	""	"A"	6	14
"3"	3	"Na"	3	"CC019(IL-16513)"	"CC019"	"IL-16513"	"-"	14	0	"Male"	1	10	""	"A"	6	14
"4"	3	"Na"	4	"CC019(IL-16513)"	"CC019"	"IL-16513"	"8"	8	1	"Femelle"	0	10	""	"A"	6	14
"5"	3	"Na"	5	"CC019(IL-16513)"	"CC019"	"IL-16513"	"-"	14	0	"Femelle"	0	10	""	"A"	6	14
"6"	3	"Na"	6	"CC019(IL-16513)"	"CC019"	"IL-16513"	"-"	14	0	"Femelle"	0	10	""	"A"	6	14
"7"	3	"Na"	7	"CC051(IL-16912)"	"CC051"	"IL-16912"	"6"	6	1	"Male"	1	10	""	"A"	6	14
"8"	3	"Na"	8	"CC051(IL-16912)"	"CC051"	"IL-16912"	"-"	14	0	"Male"	1	10	""	"A"	6	14
"9"	3	"Na"	9	"CC051(IL-16912)"	"CC051"	"IL-16912"	"-"	14	0	"Male"	1	10	""	"A"	6	14
"10"	3	"Na"	10	"CC051(IL-16912)"	"CC051"	"IL-16912"	"-"	14	0	"Femelle"	0	11	""	"A"	6	14
"11"	3	"Na"	11	"CC051(IL-16912)"	"CC051"	"IL-16912"	"-"	14	0	"Femelle"	0	11	""	"A"	6	14
"12"	3	"Na"	12	"CC051(IL-16912)"	"CC051"	"IL-16912"	"-"	14	0	"Femelle"	0	11	""	"A"	6	14
"13"	3	"Na"	13	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	8	""	"A"	6	14
"14"	3	"Na"	14	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	8	""	"A"	6	14
"15"	3	"Na"	15	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	8	""	"A"	6	14
"16"	3	"Na"	16	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"6"	6	1	"Femelle"	0	9	""	"A"	6	14
"17"	3	"Na"	17	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"6"	6	1	"Femelle"	0	9	""	"A"	6	14
"18"	3	"Na"	18	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"6"	6	1	"Femelle"	0	9	""	"A"	6	14
"19"	4	"862"	1	"CC037/TauUnc(IL-16072)"	"CC037"	"IL-16072"	"-"	14	0	"Male"	1	11	"9/1/15"	"B"	6.66666666666667	14
"20"	4	"862"	2	"CC037/TauUnc(IL-16072)"	"CC037"	"IL-16072"	"-"	14	0	"Male"	1	11	"9/1/15"	"B"	6.66666666666667	14
"21"	4	"862"	3	"CC037/TauUnc(IL-16072)"	"CC037"	"IL-16072"	"-"	14	0	"Male"	1	11	"9/1/15"	"B"	6.66666666666667	14
"22"	4	"862"	4	"CC037/TauUnc(IL-16072)"	"CC037"	"IL-16072"	"11"	11	1	"Femelle"	0	11	"9/1/15"	"B"	6.66666666666667	14
"23"	4	"862"	5	"CC037/TauUnc(IL-16072)"	"CC037"	"IL-16072"	"-"	14	0	"Femelle"	0	11	"9/1/15"	"B"	6.66666666666667	14
"24"	4	"862"	6	"CC037/TauUnc(IL-16072)"	"CC037"	"IL-16072"	"-"	14	0	"Femelle"	0	11	"9/1/15"	"B"	6.66666666666667	14
"25"	4	"862"	7	"CC042/GeniUnc(AU18042)"	"CC042"	"AU18042"	"5"	5	1	"Male"	1	9	"9/1/15"	"B"	6.66666666666667	14
