"Line"	"CC.Line"	"Endpoint"	"Survival.Days"	"Exp"	"Batch"	"Dose"	"Birthday"	"Sex"	"Age"
"1"	"CC019"	"IL-16513"	"-"	15	3	"A"	"Na"	"Na"	0	10
"2"	"CC019"	"IL-16513"	"-"	15	3	"A"	"Na"	"Na"	0	10
"3"	"CC019"	"IL-16513"	"8"	8	3	"A"	"Na"	"Na"	0	10
"4"	"CC019"	"IL-16513"	"-"	15	3	"A"	"Na"	"Na"	1	9
"5"	"CC019"	"IL-16513"	"-"	15	3	"A"	"Na"	"Na"	1	9
"6"	"CC019"	"IL-16513"	"-"	15	3	"A"	"Na"	"Na"	1	10
"7"	"CC051"	"IL-16912"	"-"	15	3	"A"	"Na"	"Na"	0	11
"8"	"CC051"	"IL-16912"	"-"	15	3	"A"	"Na"	"Na"	0	11
"9"	"CC051"	"IL-16912"	"-"	15	3	"A"	"Na"	"Na"	0	11
"10"	"CC051"	"IL-16912"	"-"	15	3	"A"	"Na"	"Na"	1	10
"11"	"CC051"	"IL-16912"	"-"	15	3	"A"	"Na"	"Na"	1	10
"12"	"CC051"	"IL-16912"	"6"	6	3	"A"	"Na"	"Na"	1	10
"13"	"CC042"	"AU18042"	"4"	4	4	"B"	"862"	"09/01/15"	0	9
"14"	"CC042"	"AU18042"	"4"	4	4	"B"	"862"	"09/01/15"	0	9
"15"	"CC042"	"AU18042"	"5"	5	4	"B"	"862"	"09/01/15"	0	10
"16"	"CC042"	"AU18042"	"5.5"	5.5	4	"B"	"862"	"09/01/15"	1	9
"17"	"CC042"	"AU18042"	"5"	5	4	"B"	"862"	"09/01/15"	1	9
"18"	"CC042"	"AU18042"	"5"	5	4	"B"	"862"	"09/01/15"	1	9
"19"	"CC037"	"IL-16072"	"-"	15	4	"B"	"862"	"09/01/15"	0	11
"20"	"CC037"	"IL-16072"	"-"	15	4	"B"	"862"	"09/01/15"	0	11
"21"	"CC037"	"IL-16072"	"11"	11	4	"B"	"862"	"09/01/15"	0	11
"22"	"CC037"	"IL-16072"	"-"	15	4	"B"	"862"	"09/01/15"	1	11
"23"	"CC037"	"IL-16072"	"-"	15	4	"B"	"862"	"09/01/15"	1	11
"24"	"CC037"	"IL-16072"	"-"	15	4	"B"	"862"	"09/01/15"	1	11
"25"	"CC059"	"IL-16012"	"-"	15	5	"C"	"919"	"05/03/15"	0	10
"26"	"CC059"	"IL-16012"	"-"	15	5	"C"	"919"	"05/03/15"	0	10
"27"	"CC059"	"IL-16012"	"-"	15	5	"C"	"919"	"05/03/15"	0	10
"28"	"CC059"	"IL-16012"	"-"	15	5	"C"	"919"	"05/03/15"	1	10
